,l_lnsmfn,dxr,imf,fsharec,wlrcac,polity
l_lnsmfn,1.0,-0.18716006755676773,0.3562770879489739,-0.3903550392274436,-0.06179443996695224,-0.3229461233231977
dxr,-0.18716006755676773,1.0,0.06693542623530807,0.11607616873514544,-0.16374550124943416,0.23449134516908862
imf,0.3562770879489739,0.06693542623530807,1.0,-0.14063732366758921,-0.1964502043865014,-0.22897250754378756
fsharec,-0.3903550392274436,0.11607616873514544,-0.14063732366758921,1.0,-0.2429389437917822,0.12454189012067912
wlrcac,-0.06179443996695224,-0.16374550124943416,-0.1964502043865014,-0.2429389437917822,1.0,-0.08066110363711135
polity,-0.3229461233231977,0.23449134516908862,-0.22897250754378756,0.12454189012067912,-0.08066110363711135,1.0
