Year,IMPGS,INTDSRUSM193N,New House Sale,S&P Returns,UNRATE,WM2NS,GDPC1,T10Y2Y,CORESTICKM159SFRBATL,DEXCHUS,DEXCAUS
2012,11077.27,0.75,4417.0,13.41,8.075,10047.909433962262,17442.75925,1.52728,2.1692725833333335,6.309262948207171,0.9994936254980079
2013,11065.502,0.75,5158.0,29.6,7.358333333333333,10727.961538461539,17812.167,2.04308,1.9427644166666667,6.147754183266932,1.030003984063745
2014,11549.78,0.75,5283.0,11.39,6.158333333333334,11388.236538461539,18261.714249999997,2.07748,1.9748250833333334,6.1619892,1.104266
2015,11179.767,0.7708333333333334,6031.0,-0.73,5.2749999999999995,12042.511538461538,18799.622,1.4515139442231075,2.15736025,6.282743426294821,1.2791386454183267
2016,10955.319,1.0208333333333333,6726.0,9.54,4.875,12852.776923076923,19141.67225,1.00324,2.5585834999999997,6.640016334661355,1.3242569721115538
2017,11726.354,1.625,7376.0,19.42,4.358333333333333,13583.825,19612.1025,0.93028,2.2452545,6.756870281124498,1.2983746987951807
2018,12524.663,2.4583333333333335,7368.0,-6.24,3.891666666666666,14103.199999999999,20193.89525,0.3841767068273092,2.4163711666666665,6.60904297188755,1.2956654618473895
2019,12467.814,2.75,8222.0,28.88,3.6750000000000003,14818.513461538461,20692.08675,0.1726,2.5213080833333334,6.908139357429719,1.32694578313253
2020,11106.014,0.5833333333333334,9993.0,16.26,8.091666666666667,17634.359615384616,20234.074,0.5005577689243028,2.1587013333333336,6.9041904,1.3422032
2021,13633.106,0.25,9231.0,26.89,5.3500000000000005,20486.89423076923,21407.6925,1.181394422310757,2.386962083333333,6.450814457831325,1.2533385542168676
